Concordia Novel Coronavirus Pneumonia Protection Manual	What is the name of the book that describes the understanding of novel coronavirus pneumonia?
novel coronavirus 2.	What is the name of the current epidemic of novel coronavirus pneumonia at home and abroad?
Current status of the epidemic of novel coronavirus pneumonia	What is the current status of the epidemic of novel coronavirus pneumonia at home and abroad?
Hazardous nature	What is the danger of the novel coronavirus?
Channels of transmission of novel coronaviruses	What does the Concordia Novel Coronavirus Pneumonia Protection Manual Catalog cover?
Access to medical care	What is a symptom of the novel coronavirus pneumonia?
Preventive measures 1.	What is the name of the 1st chapter of Treatment?
Universal precautions	What type of precautions do Elderly people take?
Personal precautions	What type of precautions are mentioned in Chapter 3 Preventive measures?
Family preventive measures 4.	What are some community prevention strategies and measures?
Community prevention strategies and measures 5.	What are some of the preventive measures in public places?
public places	Where can preventive measures be found?
Special place precautions	What does Chapter 4 Special Populations Prevention include?
Elderly people	Who are the Special Populations Prevention measures for?
children	Who is included in the Chapter 6 Nutrition campaign recommendations for protection against novel coronavirus pneumonia?
Maternity	What is another term for a child?
Home isolated persons	What type of person is included in the Chapter 5 Psychological Support?
novel coronavirus pneumonia	What type of disease is a nutrition campaign recommended to protect against?
Exercise and nutrition support	What does Chapter 6 Nutrition campaign recommendations for protection against novel coronavirus pneumonia include?
"Wuhan, Hubei Province"	Where have several cases of novel infectious diseases been detected?
spreads	How does the outbreak of the novel coronavirus infection spread?
"fever, dry cough, shortness of breath, generally low or decreased peripheral blood leukocytes, and inflammatory changes on chest radiographs"	What are the clinical features of the viral infection?
COVID-19	What was the pathogen named by the WHO?
Public Health Emergency of International Concern	What was COVID-19 designated as?
"book ""Concordia Novel Coronavirus Pneumonia Protection Manual"""	What has our society urgently organized the compilation of?
six	How many parts is the book divided into?
"The elderly, children and pregnant women"	Who needs special attention in the prevention and control of novel coronavirus pneumonia outbreaks?
specific protective measures	"What have we developed for elderly, children, and pregnant women?"
QR code	What is the latest version of this article provided by?
"If there are any errors, please feel free to correct them"	What is the purpose of the book?
27-32 kb	How long is the genome of the RNA virus?
a corolla	What do the small protrusions on the exterior of a Coronavirus resemble?
vertebrates	Coronaviruses infect only what?
four	How many genera can coronaviruses be divided into?
mammalian coronaviruses and avian coronaviruses	What are two examples of animal coronaviruses?
genus coronaviruses	What is the genus of mammalian coronaviruses?
human coronaviruses	Coronaviruses that can infect humans are referred to as what?
6	How many human infectious coronaviruses have been identified?
severe acute respiratory syndrome coronavirus and Middle East respiratory syndrome coronavirus	Which two coronaviruses cause severe respiratory diseases?
COVID-19	What was the source of the viral pneumonia outbreak named by WHO?
COVID-19	What did the World Health Organization name the seventh member of the coronavirus family?
SARS-CoV-2	What is the official classification of SARS virus?
149 mutation sites	How many mutations did the new coronavirus have?
relatively old	How old is the S subtype?
in-depth understanding of the different subtypes	What will help to differentiate the treatment and control of NCCP?
SARS-CoV and MERS-CoV	What are the names of the physicochemical properties of human coronaviruses?
4°C	At what temperature are coronaviruses stable?
56°C for 10 minutes or 37°C for several hours	How can HCoV-229E lose its infectivity?
7.2	What is the optimal pH for virus replication?
75%	What percentage of alcohol is in human coronaviruses?
heat sensitive	What type of virus can be inactivated at 56°C for 30 minutes?
Wuhan	Where did the new coronavirus pneumonia outbreak begin?
"16,145"	How many confirmed cases were there?
"14,607"	How many close contacts are still under medical observation?
"15,671"	How many confirmed cases were there in Wuhan?
"49,056"	How many cumulative cured cases were there in Wuhan?
6	How many new suspected cases were there in Wuhan?
6	How many new confirmed cases were reported from 0-24 March 10?
79 confirmed cases were reported from overseas	How many confirmed cases were there as of 24:00 on March 10?
120	How many cases were there in Hong Kong SAR?
Wuhan	Where did the new coronavirus pneumonia outbreak start?
"March 8,"	When did the new coronavirus pneumonia outbreak occur?
"26,210"	How many confirmed cases outside of China were there?
"South Korea, Italy and Iran"	"What countries have more than 5,000 confirmed cases of the new coronavirus?"
influenza A (H1N1)	What was the last time COVID-19 was classified as a global pandemic?
2003	When was SARS first classified as a global pandemic?
entered global pandemic status	What is the status of the new coronavirus?
"January 31, Beijing"	When did WHO declare that the new coronavirus outbreak in China constitutes a public health emergency of international concern?
13-fold	How much has the number of COVID-19 cases outside China increased in the past two weeks?
"more than 118,000"	How many confirmed cases are there in 114 countries worldwide?
"the number of confirmed cases, the number of deaths and the number of countries affected by the outbreak will climb further"	What do we believe in the coming weeks?
COVID-19	What can be considered a pandemic?
people have gradually become more aware of the harmful effects of the virus	What has happened with the development of the epidemic?
SARS	What was the last time the new coronavirus infection was classified as a global pandemic?
low fever and malaise	What symptoms may young adults show after infection?
pneumonia	What does the new coronavirus cause?
is relatively rare and is not a major driver of transmission	What is known about true asymptomatic infections?
Lung and immune system damage	What is predominant after neo-coronavirus infection?
20-Feb	When was a report on the gross observations of the systematic autopsy of dead bodies with novel coronavirus pneumonia published?
the lungs	Where did the lesions of the new coronavirus infection remain focused on?
nervous system	What part of the body did the autopsy conclude was not affected by the new coronavirus pneumonia?
aerosol	Recent studies have demonstrated the possibility of what type of transmission of novel coronavirus?
aerosol transmission	What is an extremely rare mode of transmission for non-medical personnel?
disinfection treatment of sewage in the sewer system	What should all communities and villages with confirmed or suspected cases of novel coronavirus do?
novel coronavirus infection in newborns	What has been identified after several cases of novel coronavirus infection in children?
Tongji Hospital	Where were two cases of novel coronavirus pneumonia in newborns diagnosed?
vertical	What type of mother-to-child transmission of novel coronavirus is there no definite evidence of?
"the ""China-WHO Joint Expedition Report on Novel Coronavirus Pneumonia (COVID-19)"""	What did the National Health Commission release on February 29?
a replicating virus in the intermediate host	What does the identification of an intermediate host require?
the current study has not been able to identify the intermediate host of this novel coronavirus and further scientific studies are needed	What is the conclusion of the COVID-19 study?
"fever, malaise, and dry cough"	What is novel coronavirus pneumonia characterized by?
"nasal congestion, runny nose and diarrhea"	What are some of the symptoms of novel coronavirus pneumonia?
dyspnea	What are more than half of the patients with novel coronavirus pneumonia likely to present with?
mild form	What form of novel coronavirus pneumonia has low-grade fever and mild malaise?
imaging signs of pneumonia	What do patients with the common form of novel coronavirus pneumonia have?
respiratory distress and/or hypoxemia	What do severely ill patients tend to develop 1 week after onset of the disease?
moderate to low fever	What type of fever may a small number of patients with severe and critical illnesses have?
1 week	How long does it take for patients with low fever and mild malaise to recover?
1 to 14 days	What is the incubation period of novel coronaviruses?
infectious	What is the incubation period of novel coronaviruses?
"headache, nasal congestion, sneezing and coughing"	What are the symptoms of novel coronavirus pneumonia?
there is actually a clear difference between them	What is the difference between the flu and the common cold?
Wuhan	Where is there a history of travel or residence with persistent transmission of local cases of novel coronavirus?
a mask	What should you wear throughout the journey to the doctor?
detailed account	What should you give when seeking medical attention?
your history of contact with patients or suspected patients with pneumonia	What should you tell the doctor about your illness and the process of seeking medical attention?
Home environment	What should you refer to before and after seeking medical attention?
Home precautions	What should you do to clean and disinfect the surrounding environment?
the nurse	Who will measure the temperature for a temperature above 37.3°C and ask for an epidemiological history?
"routine blood tests, liver and kidney functions, cardiac enzymes, and X-ray chest radiographs"	What will the doctor arrange for patients with fever and an epidemiological history?
a specialist	Who will the hospital request a consultation with if novel coronavirus pneumonia is suspected?
febrile	What type of patients are placed in isolation for observation during the incubation period of novel coronavirus pneumonia?
a designated hospital	Where will the hospital refer the patient to if novel coronavirus pneumonia is suspected?
Designated hospitals and fever clinics	What is the name of the two places where patients can seek medical attention if they are suspected of having a new coronavirus infection?
fever clinics	What can be found on the official websites of provincial and municipal health care commissions?
Routine review patients	What type of patients have different medical consultations?
moderately defer surgical treatment	What are patients with elective surgery recommended to do?
chemotherapy	What is a term for a period of time when patients are old and frail and have poor immune status with repeated chemotherapy?
chemotherapy	What is it recommended that chemotherapy be performed at the local hospital or the outpatient clinic of the original hospital as scheduled?
synchronous chemotherapy	What type of chemotherapy can be moderately delayed?
radiotherapy	What type of treatment should not affect the prognosis of the tumor?
Immunotherapy	What type of treatment is still possible after rigorous evaluation?
"the medical team should be informed as soon as possible, please do not cope with the occurrence of adverse reactions alone"	What should the medical team do if adverse reactions occur?
Severe vomiting and diarrhea	What can lead to dehydration and endanger life?
"strengthen self-management, treat and manage existing chronic diseases as required"	What should patients with stable chronic diseases do?
"take them on time, closely observe the change of symptoms and progress of the chronic disease they have, and strengthen the contact with the doctor"	How do patients with stable chronic diseases prepare their medications?
