ID	index	answer	text	label
1	1	Concordia Novel Coronavirus Pneumonia Protection Manual	What Catalog Chapter 1: Understanding novel coronavirus pneumonia 1. Introduction to the novel coronavirus 2. Current status of the epidemic of novel coron	0
2	2	novel coronavirus 2.	What is the current status of the epidemic of novel coronavirus pneumonia at home and abroad?	0
3	3	Current status of the epidemic of novel coronavirus pneumonia	What is the current status of the epidemic of novel coronavirus pneumonia at home and abroad?	0
4	4	Hazardous nature	What is the name of the novel coronavirus?	0
5	5	Channels of transmission of novel coronaviruses	"What type of transmission does Concordia Novel Coronavirus Pneumonia Protection Manual Catalog Chapter 2: Symptoms, medical consultation, isolation, treatment"	0
6	6	Access to medical care	What is a symptom of a novel coronavirus?	0
7	7	Preventive measures 1.	What is the definition of treatment in Chapter 3?	0
8	8	Universal precautions	What is the definition of Preventive measures?	0
9	9	Personal precautions	What are the Universal precautions?	0
10	10	Family preventive measures 4.	What kind of preventive measures are there?	0
11	11	Community prevention strategies and measures 5.	What type of preventive measures are in public places?	0
12	12	public places	Where are Preventive measures in?	0
13	13	Special place precautions	What is the name of the special population prevention chapter?	0
14	14	Elderly people	Who is responsible for the Prevention of Special Populations?	0
15	15	children	Maternity 4. medical and nursing staff Chapter 5 Psychological Support 1. Patients 2. Home isolated persons 3. rescuers 4. General public 5. Children Chapter 6 Nutrition	0
16	16	Maternity	What is the name of the child?	0
17	17	Home isolated persons	What is the name of a patient?	0
18	18	novel coronavirus pneumonia	Children Chapter 6 Nutrition campaign recommendations for protection against what type of pneumonia?	0
19	19	Exercise and nutrition support	What does the general population need to do to protect against coronavirus pneumonia?	0
20	20	"Wuhan, Hubei Province"	Where have novel infectious diseases been detected?	0
21	21	spreads	What has been identified in other regions of China and outside China?	0
22	22	"fever, dry cough, shortness of breath, generally low or decreased peripheral blood leukocytes, and inflammatory changes on chest radiographs"	What are the clinical features of the viral infection?	0
23	23	COVID-19	What is the name of the pathogen of the novel coronavirus belonging to the genus?	0
24	24	Public Health Emergency of International Concern	"What was the PHEIC designated as on January 31, 2020?"	0
25	25	"book ""Concordia Novel Coronavirus Pneumonia Protection Manual"""	What is the name of the book that has been compiled by the public?	0
26	26	six	"How many parts is the book ""Concordia Novel Coronavirus Pneumonia Protection Manual"" divided into?"	0
27	27	"The elderly, children and pregnant women"	Who are the groups that need special attention in the prevention and control of novel coronavirus pneumonia outbreaks?	0
28	28	specific protective measures	What has been developed for the populations that need special attention in the prevention and control of novel coronavirus pneumonia outbreaks?	0
29	29	QR code	What is the latest version of the novel coronavirus Pneumonia Protection Manual?	0
30	30	"If there are any errors, please feel free to correct them"	What do you need to correct if there are any errors?	0
31	31	27-32 kb	What is the genome of the RNA virus known to date?	0
32	32	a corolla	What is the name of a small protrusion on the exterior of the virus?	0
33	33	vertebrates	What do Coronaviruses infect?	0
34	34	four	How many genera can coronaviruses be divided into?	0
35	35	mammalian coronaviruses and avian coronaviruses	What are the two types of animal coronaviruses?	0
36	36	genus coronaviruses	What are mammalian coronaviruses mainly  and?	0
37	37	human coronaviruses	What are Coronaviruses that can infect humans referred to as?	0
38	38	6	How many human infectious coronaviruses have been identified?	0
39	39	severe acute respiratory syndrome coronavirus and Middle East respiratory syndrome coronavirus	What are the other two coronaviruses?	0
40	40	COVID-19	What was the name of the coronavirus family?	0
41	41	COVID-19	"What was the name given to the World Health Organization on February 11, 2010?"	0
42	42	SARS-CoV-2	"What is the same ""species"" as SARS virus?"	0
43	43	149 mutation sites	How many mutations has the new coronavirus recently generated?	0
44	44	relatively old	What is the S subtype?	0
45	45	in-depth understanding of the different subtypes	What will help to differentiate the treatment and control of NCCP?	0
46	46	SARS-CoV and MERS-CoV	What are the studies on the physicochemical properties of human coronaviruses?	0
47	47	4掳C	What temperature is a suitable maintenance solution for Coronaviruses?	0
48	48	56掳C for 10 minutes or 37掳C for several hours	What temperature does HCoV-229E lose its infectivity at?	0
49	49	7.2	What is the optimal pH for virus replication?	0
50	50	75%	"What percentage of alcohol, ether, chloroform, formaldehyde, chlorinated disinfectants, peroxyacetic acid and UV"	0
51	51	56掳C	At what temperature can the new coronavirus be inactivated for 30 minutes?	0
52	52	Wuhan	Where did the new coronavirus pneumonia outbreak start?	0
53	53	"16,145"	How many confirmed cases did the Xinjiang Production and Construction Corps have?	0
54	54	"14,607"	How many close contacts are still under medical observation?	0
55	55	"15,671"	How many confirmed cases did Wuhan have?	0
56	56	"49,056"	How many cumulative cured cases were there in Wuhan?	0
57	57	6	How many new suspected cases were reported in Wuhan?	0
58	58	6	How many new confirmed cases were reported from 0-24 March 10?	0
59	59	79	How many confirmed cases were reported from overseas?	0
60	60	120	How many cases were received from Hong Kong SAR?	0
61	61	Wuhan	Which city has the highest number of confirmed cases in the last five days?	0
62	62	"March 8,"	When did 74 countries and regions worldwide have been affected by the outbreak?	0
63	63	"26,210"	How many confirmed cases outside of China are there?	0
64	64	"South Korea, Italy and Iran"	"Where are more than 5,000 cases confirmed?"	0
65	65	influenza A (H1N1)	What was the last time the new coronavirus pneumonia was classified as a global pandemic?	0
66	66	2003	In what year did SARS not reach this level?	0
67	67	entered global pandemic status	What has the new coronavirus entered global pandemic status?	0
68	68	"January 31, Beijing"	When did the WHO declare that the new coronavirus outbreak in China constitutes a public health emergency of international concern?	0
69	69	13-fold	How many COVID-19 cases outside China have increased in the past two weeks?	0
70	70	"more than 118,000"	How many confirmed cases are there in 114 countries worldwide?	0
71	71	"the number of confirmed cases, the number of deaths and the number of countries affected by the outbreak will climb further"	How will the number of confirmed cases and the number of countries affected by the outbreak rise?	0
72	72	COVID-19	What can be considered a pandemic?	0
73	73	people have gradually become more aware of the harmful effects of the virus	What have people become more aware of the harmful effects of the new coronavirus?	0
74	74	SARS	What is a general susceptibility of the population?	0
75	75	low fever and malaise	What are the symptoms of the new coronavirus pneumonia?	0
76	76	pneumonia	What is the cause of the new coronavirus pneumonia?	0
77	77	is relatively rare and is not a major driver of transmission	What is not a major driver of transmission?	0
78	78	Lung and immune system damage	What is predominant after neo-coronavirus infection?	0
79	79	20-Feb	When was a report published on the systematic autopsy of dead bodies with novel coronavirus pneumonia published?	0
80	80	the lungs	What were the lesions of the new coronavirus infection focused on?	0
81	81	nervous system	What did the report conclude that the new coronavirus pneumonia was classified as a global pandemic?	0
