What is the name of the public transport disinfection operation?	1
What is the name of the trading markets in a nursing home?	1
what river seperates boston from charlestown ?	0
"Who issued the ""Dietary Guidelines for Chinese Residents""?"	1
"How many Peru 2019 Coronavirus disease deaths exceeded on May 31, 2021?"	1
What is the purpose of keeping the workplace clean and hygienic and air circulation?	1
What should elderly people do if they have to go out?	1
what book describes lord and lady baden-powel 's visit ?	0
What did the World Health Organization say about the findings?	1
When should medical surgical masks be worn?	1
What percentage of alcohol is used to wipe non-corrosive resistant objects?	1
"On what date were the first confirmed cases of coronavirus disease reported in Argentina, Chile, Liechtenstein, and Ukraine?"	1
when did the christian science monitor end daily print newspapers ?	0
"prior to 1917 , what church was in a similar situation as the eastern catholic churches as regards its legal system ?"	0
who benefited from the demotion of malenkov ?	0
what was william shakespeare 's father 's first name ?	0
What is a good way to avoid heavy traffic and poor air circulation?	1
How long after the onset of the disease is the novel coronavirus infection more contagious?	1
who started the first japanese comic strip in modern times ?	0
what country borders russia on the west ?	0
from what country did george hudson hail ?	0
what dialects comprise the southern group ?	0
what year was the football world cup final in bern ?	0
What is the law of the People's Republic of China on the Prevention and Control of Infectious Diseases?	1
what congresses were held in bern ?	0
How many dark-colored fruits and vegetables are there?	1
"What are the five ""variants of concern""?"	1
"If a pregnant mother develops symptoms such as low fever, sore throat and cough, what should be started immediately?"	1
What are two disinfectants that a caregiver should use for an isolated person?	1
"How many people were diagnosed with coronavirus disease in the United States on December 7, 2020?"	1
What are people experiencing significant disruptions in their normal lives due to?	1
"in 2013 , an agreement between hormuud telecom and liquid telecom provided residents access to what type of cable provider ?"	0
what is the common density of printing paper ?	0
advertisers switched from print ads to what to reach more customers ?	0
what organization identified saint helena as important for bird conservation ?	0
why was the nanjing olympic sports center built ?	0
who partnered with universal in the creation of cinema international corporation ?	0
What do you need to refer to the following table for?	1
How many cases of pneumonia are there in the community?	1
who was made the first dean of the new church ?	0
"When should personnel wear work clothes, gloves, work shoes, hats, goggles, etc.?"	1
"when andreessen left the company he worked for , what new company did he start ?"	0
what institute is located near the oklahoma city national memorial ?	0
What percentage of alcohol is in human coronaviruses?	1
What does BSCV stand for?	1
What should you be protected if you must go out?	1
What will help to differentiate the treatment and control of NCCP?	1
How many new cases of coronavirus were confirmed in the United States in a single day?	1
Where was the number of confirmed coronavirus disease in 2019?	1
what company is martin judge the founder of ?	0
How long is the genome of the RNA virus?	1
how many pubs were part of the camra survey ?	0
What type of mask has no protective effect?	1
what health condition did bell start to have ?	0
during what part of the week is the time change most often scheduled ?	0
What did the laboratory send the test report back to the hospital on December 30?	1
What should you wear throughout the journey to the doctor?	1
where was richard iii buried ?	0
how did the people of boston react to the demolition of the west end ?	0
How many people died from coronavirus disease in 2022?	1
what was spray pained on the properties of christians who left the area ?	0
What was the number of confirmed coronavirus disease in Spain in 2021?	1
who have hot ac format radio stations had to change the music they play ?	0
How many people were diagnosed with coronavirus in India in 2020?	1
when was patience latting elected ?	0
"under the deal , how many afl playoff games did espn broadcast each year ?"	0
what 's might a new tz value mishandle when it changes with new dst rules ?	0
where did the information on registered households during that period originate ?	0
What disinfectant should be sprayed or wiped with?	1
what body passed the declaration of state sovereignty of the russian sfsr ?	0
What is required at high temperature?	1
what ac format is especially known for playing christmas music in the christmas season ?	0
"along with easy listening , adult contemporary is a modern day continuation of what style of music ?"	0
how many ancient capitals does china have in its history ?	0
in what year did the glorious revolution occur ?	0
where did travelers early in the middle ages often find lodgings ?	0
what do most valencian people think valencian is in regards to catalan ?	0
what is an example of a member of the anglican communion in canada ?	0
how does nature produce h2 ?	0
"If the mask is wet or soiled by secretions and the protective performance is reduced, it is recommended to what?"	1
What is it forbidden to leave the contaminated area wearing personal protective equipment to avoid?	1
which sami tongue has unvoiced stop and affricate phonemes pronounced preaspirated ?	0
where does sbc tv broadcast from ?	0
how many coolie labourers were on the island by 1818 ?	0
at what sort of pub can you watch rugby union on television ?	0
What does the cold-damp epidemic formula do in the lungs?	1
"along with josh groban , what notable pop artist started out his career on adult contemporary radio ?"	0
in what year was an innkeeper 's diary published ?	0
what station did mike marino work for in 1997 ?	0
what is the term for catalan countries ?	0
what languages did aavik know ?	0
What will the doctor arrange for patients with fever and an epidemiological history?	1
which singer performed at bell 's funeral ?	0
How long should you rub your hands?	1
Where was the first case of 2019 coronavirus disease reported?	1
What are the recommended acupuncture points?	1
What is the term for suspected cases with one of the following pathogenic or serological evidence?	1
What is the main focus of case selection?	1
