On July 14, 2021, the number of confirmed coronavirus disease in Spain 2019 exceeded 4 million.
July 15, 2021, Argentina 2019 Coronavirus disease death toll exceeds 100,000.
July 15, 2021 - Record 110,000 new crown cases added to Indonesia's single-day confirmations
On July 17, 2021, the cumulative number of newly diagnosed pneumonia cases worldwide exceeded 190 million and the number of deaths exceeded 4.1 million.
July 20, 2021 - Russia 2019 has more than 6 million confirmed coronavirus disease diagnoses, temporarily the fourth highest in the world.
On July 20, 2021, more than 35 million people were diagnosed with 2019 coronavirus disease in the United States.
July 20, 2021 - Record 60,000 new crowned cases added to Spain's single-day confirmations
On July 22, 2021, the number of confirmed coronavirus disease in Indonesia 2019 exceeded 3 million.
On July 23, 2021, the number of confirmed coronavirus disease in Pakistan 2019 exceeded 1 million.
On July 25, 2021, the number of confirmed coronavirus disease in Malaysia 2019 exceeded 1 million.
July 25, 2021 Central African Republic, Madagascar currently prioritizing death toll
