In December 2021, the fifth pandemic strain of NCCP, "variant virus Omicron (B.1.1.529 BA.1)" was introduced.
On December 1, 2021, the number of confirmed coronavirus disease in Switzerland 2019 exceeds 1 million.
December 3, 2021, Germany 2019 Coronavirus disease confirmed in more than 6 million people.
December 3, 2021, South Africa 2019 Coronavirus disease confirmed in more than 3 million people.
On December 6, 2021, the number of confirmed coronavirus disease in the United States exceeded 50 million in 2019.
December 10, 2021, Turkey 2019 Coronavirus disease confirmed in more than 9 million people.
On December 10, 2021, the number of confirmed coronavirus disease in France 2019 exceeded 8 million people.
On December 12, 2021, the cumulative number of newly diagnosed pneumonia cases worldwide exceeded 270 million and the number of deaths exceeded 5.33 million.
On December 13, 2021, the number of confirmed coronavirus disease in Greece 2019 exceeded 1 million.
On December 15, 2021, the number of confirmed coronavirus disease in Jordan 2019 exceeded 1 million.
On December 16, 2021, the number of confirmed coronavirus disease in mainland China 2019 exceeded 100,000.
